customer_id,segment,recency,frequency,monetary,R_score,F_score,M_score,rfm_segment,age,gender,income,membership_days
0009655768c64bdeb2e877511632db8f,,1.0,8,127.6,5,3,4,Loyal Customers,33.0,M,72000.0,467
0011e0d4e6b944f998e987f904e8c1e5,,2.75,5,79.46000000000001,3,2,3,Potential Loyalists,40.0,O,57000.0,204
0020c2b971eb4e9188eac86d93036a77,High Spenders,0.5,8,196.85999999999999,5,3,5,Champions,59.0,F,90000.0,880
0020ccbbb6d84e358d3414a3ff76cffd,Frequent Visitors,2.0,12,154.05,4,4,4,Loyal Customers,24.0,F,60000.0,628
003d66b6608740288d6cc97a6903f4f0,Frequent Visitors,1.0,18,48.34,5,5,3,Champions,26.0,F,73000.0,406
00426fe3ffde4c6b9cb9ad6d077a13ea,Frequent Visitors,1.0,17,68.51,5,5,3,Champions,19.0,F,65000.0,722
004b041fbfe44859945daa2c7f79ee64,High Spenders,0.25,6,138.36,5,2,4,Loyal Customers,55.0,F,74000.0,85
004c5799adbf42868b9cff0396190900,High Spenders,1.25,12,347.38,4,4,5,Champions,54.0,M,99000.0,853
005500a7188546ff8a767329a2f7c76a,,5.5,4,20.36,2,1,2,At Risk,56.0,M,47000.0,235
0056df74b63b4298809f0b375a304cf4,High Spenders,2.0,5,144.14,4,2,4,Loyal Customers,54.0,M,91000.0,710
00715b6e55c3431cb56ff7307eb19675,High Spenders,0.75,15,375.12,5,5,5,Champions,58.0,F,119000.0,237
0082fd87c18f45f2be70dbcbb0fb8aad,,1.0,7,121.85,5,3,4,Loyal Customers,28.0,F,68000.0,327
00840a2ca5d2408e982d56544dc14ffd,Frequent Visitors,1.5,17,62.93,4,5,3,Loyal Customers,26.0,M,61000.0,1319
00857b24b13f4fe0ad17b605f00357f5,,4.0,4,6.260000000000001,2,1,1,Lost,71.0,M,41000.0,282
008d7088107b468893889da0ede0df5c,Casual Shoppers,11.25,7,16.18,1,3,1,At Risk,24.0,M,42000.0,325
0091d2b6a5ea4defaa8393e4e816db60,High Spenders,7.5,12,279.16,1,4,5,Loyal Customers,62.0,F,81000.0,775
0099bf30e4cb4265875266eb3eb25eab,High Spenders,5.25,9,105.83,2,3,4,Potential Loyalists,61.0,M,66000.0,168
00a794f62b9a48beb58f8f6c02c2f1a6,High Spenders,5.0,11,166.4,2,4,4,Loyal Customers,88.0,F,54000.0,1012
00ae03011f9f49b8a4b3e6d416678b0b,High Spenders,1.0,8,218.05,5,3,5,Champions,55.0,M,83000.0,990
00aee28bbb3848dd8a31f0c91dc267dd,,7.25,5,20.53,1,2,2,At Risk,21.0,M,59000.0,207
00b18b535d6d4f779dea4dc9ac451478,High Spenders,0.75,5,133.25,5,2,4,Loyal Customers,72.0,M,102000.0,481
00b3400e4ff64ee68ce9ada1d0c222f0,High Spenders,0.75,10,163.92000000000002,5,4,4,Champions,62.0,M,80000.0,706
00b3c376db2a4115af3aef34a02f61d6,High Spenders,1.75,8,219.63,4,3,5,Loyal Customers,50.0,M,104000.0,400
00b901d68f8f4fd68075184cd0f772d2,Casual Shoppers,6.25,4,53.550000000000004,1,1,3,At Risk,68.0,F,76000.0,40
00bbce6533f44ddeaf4dd32bcab55441,High Spenders,5.0,7,77.21,2,3,3,Potential Loyalists,94.0,M,50000.0,1342
00bc42a62f884b41a13cc595856cf7c3,,0.75,8,150.64,5,3,4,Loyal Customers,44.0,M,72000.0,933
00bc983061d3471e8c8e74d31b7c8b6f,Casual Shoppers,13.5,3,63.5,1,1,3,At Risk,59.0,M,77000.0,289
00c20a9202d5475190b31a24de6fb06d,High Spenders,4.0,8,164.01,2,3,4,Potential Loyalists,52.0,O,80000.0,878
00c2f812f4604c8893152a5c6572030e,High Spenders,5.75,5,124.09,2,2,4,Potential Loyalists,58.0,F,102000.0,32
00c32a104f0c4065b5b552895fb22e34,Casual Shoppers,14.0,2,6.9799999999999995,1,1,1,Lost,33.0,M,42000.0,222
00c5a385c71a4d3db5e9b4e31e430943,,6.75,2,2.59,1,1,1,Lost,28.0,M,35000.0,302
00c6035df45840038a72766c6d27a0db,High Spenders,2.25,11,241.55,4,4,5,Champions,47.0,M,86000.0,522
00c91f31f5f74e769fa7a359b63e1a9f,Frequent Visitors,1.75,14,134.74,4,5,4,Champions,22.0,F,49000.0,624
00ceaf16a40341e6996d543d04daa2c2,,1.25,9,26.98,4,3,2,Potential Loyalists,34.0,M,38000.0,74
00cf1bbec83f4a658f8994e556db4633,Casual Shoppers,6.5,3,64.27000000000001,1,1,3,At Risk,53.0,M,73000.0,78
00cf471ed1aa42a8bdde5561d67da2b1,,2.5,8,26.18,3,3,2,Potential Loyalists,53.0,M,40000.0,185
00d6dc87be4146ceb47fcd4baaaf6477,High Spenders,2.0,12,334.64,4,4,5,Champions,58.0,F,115000.0,233
00d791e20c564add8056498e40eb56cc,Frequent Visitors,2.75,19,59.62,3,5,3,Loyal Customers,22.0,M,32000.0,951
00d7c95f793a4212af44e632fdc1e431,High Spenders,2.25,7,162.42000000000002,4,3,4,Loyal Customers,71.0,M,75000.0,580
00d91c5919514448bc4f718e4e3f26ab,High Spenders,0.5,2,44.599999999999994,5,1,2,Potential Loyalists,45.0,M,88000.0,188
00e20b4ca129458aaab0f4727ef3513a,Frequent Visitors,0.5,20,191.54999999999998,5,5,5,Champions,82.0,F,33000.0,1329
00e52682848542c3a6f59b7824e9a5c5,,4.0,2,23.07,2,1,2,At Risk,40.0,M,65000.0,652
00e8d701c583461e81cc10053681a12b,,0.75,7,30.98,5,3,2,Loyal Customers,35.0,M,70000.0,156
00e9f403afa641889cd034ee7c7ca6e9,Champions,0.5,17,614.59,5,5,5,Champions,73.0,M,45000.0,836
00ed7e22b32749cfafbfd88592d401d4,High Spenders,1.25,11,236.96,4,4,5,Champions,55.0,M,94000.0,731
00ee2ca6421c4af0aeca60a1b3e00f6c,,0.5,1,4.03,5,1,1,Potential Loyalists,60.0,M,74000.0,350
00ee69db83964d6da32f8109b32a1ce7,,0.25,5,15.79,5,2,1,Potential Loyalists,45.0,M,52000.0,199
00fac72fd6ad448e8019b175267023df,High Spenders,3.0,10,186.23000000000002,3,4,5,Loyal Customers,57.0,M,80000.0,473
00fbb9b5edb94f02afbaf1eb49bb4d7d,Casual Shoppers,8.0,3,80.1,1,1,3,At Risk,56.0,F,91000.0,159
00fdd4416dec40b49180814c0a7c8d76,High Spenders,5.0,3,76.65,2,1,3,At Risk,55.0,M,104000.0,624
0103de989e084e0fab400e80678d7591,Frequent Visitors,2.25,11,144.97,4,4,4,Loyal Customers,19.0,M,50000.0,737
01162252405b4524a8fa1bf8e6d5f04b,Frequent Visitors,1.25,18,129.85999999999999,4,5,4,Champions,68.0,F,32000.0,491
01176ee7289b48e39ee6261d5c071a07,,2.75,5,20.200000000000003,3,2,2,Potential Loyalists,52.0,M,38000.0,92
0118fbb66dd2443a9dd407d2c99a7672,Casual Shoppers,11.25,3,64.04,1,1,3,At Risk,57.0,M,55000.0,345
0121fe001b7a404fa9cbe486f8944baf,High Spenders,6.5,6,191.68,1,2,5,Potential Loyalists,86.0,F,109000.0,111
0123564dbaf144a88a418c33b6350c17,High Spenders,6.25,6,176.74,1,2,5,Potential Loyalists,54.0,F,117000.0,318
013094309e1b49e095c098df412d125d,Frequent Visitors,0.25,20,69.18,5,5,3,Champions,58.0,M,54000.0,1377
01380da907f8495496679c795867790b,High Spenders,6.5,8,154.99,1,3,4,Potential Loyalists,86.0,F,73000.0,405
013f2c82889f4641a9b847a48861cce0,High Spenders,2.25,9,186.54000000000002,4,3,5,Loyal Customers,67.0,M,79000.0,345
0141d3870a424c03a20390040efad826,,3.75,4,6.32,2,1,1,Lost,70.0,M,60000.0,153
01443a2afce54939a323c978f467c540,High Spenders,2.0,16,417.93,4,5,5,Champions,61.0,F,118000.0,1026
014899c751254a62a96ce676eb11ddc2,High Spenders,1.75,10,287.11,4,4,5,Champions,52.0,F,115000.0,860
0157e63b39c5456393026c6c03f3d84a,High Spenders,6.75,10,199.65,1,4,5,Loyal Customers,70.0,F,76000.0,265
015c3d28c67e46aa95e9ec97c27220e8,High Spenders,4.25,10,235.41,2,4,5,Loyal Customers,56.0,M,99000.0,862
015ef929e016415098eeae8ce59da721,,0.5,3,18.28,5,1,1,Potential Loyalists,44.0,F,35000.0,560
015fb0b3fbaa4aceb910fbdf272f7547,,0.25,6,14.290000000000001,5,2,1,Potential Loyalists,46.0,M,35000.0,22
016086228d58476599d0b47881c25509,High Spenders,1.0,5,83.2,5,2,3,Loyal Customers,84.0,F,74000.0,291
01613170f679422a8acfa96f0f19fdf2,,2.5,5,10.33,3,2,1,At Risk,22.0,M,57000.0,137
01633b71b3a2457aa7d35d8bcc3afb5a,High Spenders,0.25,8,161.51,5,3,4,Loyal Customers,62.0,M,90000.0,1064
016871ea865d4338975026ae08d221d0,Casual Shoppers,11.25,3,45.79,1,1,2,Lost,57.0,F,79000.0,61
016b37032984457fb33ba2767fcc8c9f,Frequent Visitors,0.25,15,55.18,5,5,3,Champions,24.0,M,56000.0,1536
016edb1d1d67477391c5337545a5d98a,High Spenders,1.75,9,131.05,4,3,4,Loyal Customers,66.0,F,57000.0,946
017160c1cdb845d48abec3c330b4427e,High Spenders,4.25,9,198.09,2,3,5,Loyal Customers,68.0,F,76000.0,961
01772eae932447f9a853461a60820dc6,,5.0,8,58.279999999999994,2,3,3,Potential Loyalists,54.0,F,30000.0,384
01784d3e205548a594ba3fcdbdaaf17d,Frequent Visitors,2.75,13,151.83,3,5,4,Loyal Customers,20.0,M,43000.0,942
017a93d1204f457bbe85f5e7de062b56,Frequent Visitors,1.75,13,110.52,4,5,4,Champions,56.0,M,35000.0,268
017febbe52e64ac19cf28cf0d44386e4,Champions,7.25,10,1003.4100000000001,1,4,5,Loyal Customers,61.0,M,100000.0,1068
01873cc8de734961949af7c04b2e9872,Frequent Visitors,2.0,18,50.55,4,5,3,Loyal Customers,72.0,M,45000.0,191
01887dcd32b64feb807e2436548b6c87,Casual Shoppers,6.25,3,64.33,1,1,3,At Risk,61.0,M,78000.0,291
018a49ffb8cf4812903e7c1f56fbb0b0,Frequent Visitors,2.25,13,98.65,4,5,3,Loyal Customers,61.0,M,34000.0,607
018b8f83176d471db63d9733c741fc8a,Casual Shoppers,7.0,2,37.04,1,1,2,Lost,75.0,F,109000.0,91
01925607d99c460996c281f17cdbb9e2,Casual Shoppers,8.75,2,54.620000000000005,1,1,3,At Risk,57.0,F,116000.0,986
01956670cf414b309675aa73368b94a9,High Spenders,4.75,10,248.65,2,4,5,Loyal Customers,52.0,M,95000.0,706
0196d2062b8d4d019b8d96292266e8a4,Casual Shoppers,20.0,4,61.12,1,1,3,At Risk,60.0,F,51000.0,132
0199681637524988a14245632b8376af,High Spenders,4.25,10,222.96,2,4,5,Loyal Customers,74.0,F,72000.0,244
019be0c6f8fd4000b1967c7308b4bdf4,Frequent Visitors,0.5,21,141.2,5,5,4,Champions,23.0,F,33000.0,997
019cc78d8fed432ca6df71c132c72a99,,1.75,7,16.48,4,3,1,Potential Loyalists,27.0,M,39000.0,22
019ed95d987446e3947da0246cdab831,Champions,6.5,8,515.0899999999999,1,3,5,Potential Loyalists,59.0,M,76000.0,382
01a202a9021e40aeaa5451a5d134c16c,High Spenders,4.25,6,156.05,2,2,4,Potential Loyalists,74.0,F,91000.0,628
01a5e8b57bc04e0292525f3e2817fa17,Casual Shoppers,9.25,3,57.1,1,1,3,At Risk,55.0,M,79000.0,323
01ab25c31f034f85bc4ac9d286fb7a76,Champions,3.75,5,644.29,2,2,5,Potential Loyalists,87.0,F,77000.0,15
01ac633821f0498893320b41b5b22dfc,High Spenders,0.5,12,251.46,5,4,5,Champions,53.0,F,88000.0,1006
01b6d7e8f0884deb936a8a7f15dba895,Frequent Visitors,1.5,12,162.9,4,4,4,Loyal Customers,48.0,M,52000.0,1812
01d26f638c274aa0b965d24cefe3183f,,2.0,8,39.74,4,3,2,Potential Loyalists,49.0,M,73000.0,552
01de69b5edab4b89859ea8a7214ba35a,Champions,2.0,7,765.88,4,3,5,Loyal Customers,53.0,F,84000.0,465
01e09d713abe4a36a70a33fe4b40534e,High Spenders,1.25,4,86.25999999999999,4,1,3,Potential Loyalists,60.0,F,74000.0,1073
01e57718fc6b49b2875a9c02b32905b1,Frequent Visitors,0.25,15,101.19,5,5,3,Champions,29.0,F,31000.0,598
01e8739670a042b3877f8e843bdf55a7,High Spenders,3.5,8,181.16,3,3,5,Loyal Customers,54.0,F,119000.0,1012
01e97a4633bf4963838a4aa9ed1dce3e,,1.25,8,17.96,4,3,1,Potential Loyalists,20.0,F,43000.0,332
01ef4c6618b64334a15914ff9963eaac,Casual Shoppers,8.25,5,135.57999999999998,1,2,4,Potential Loyalists,70.0,F,92000.0,265
01f33ff554d0443a9841adfd66d253f6,High Spenders,0.75,3,53.92,5,1,3,Potential Loyalists,69.0,F,79000.0,224
01f46a5191424005af436cdf48a5da7c,High Spenders,4.25,8,166.59,2,3,4,Potential Loyalists,63.0,O,89000.0,1046
01f663b988964a4caca8b19abecb551d,,4.5,5,97.64,2,2,3,Potential Loyalists,62.0,F,62000.0,427
01fe5ec668f241608eb2f7ec374cb1b7,Frequent Visitors,0.5,10,161.89,5,4,4,Champions,44.0,M,64000.0,364
01ff6c5d8d014dbd8c120e2b43a065ea,,2.25,9,139.41,4,3,4,Loyal Customers,54.0,F,58000.0,486
0200f61c69da4c2ea078842cdaf234e6,High Spenders,0.75,9,195.01,5,3,5,Champions,64.0,M,76000.0,599
0206e1388c34454caba2b7fce3123943,Casual Shoppers,12.75,4,71.95,1,1,3,At Risk,39.0,M,71000.0,423
020be6e9805649858595dfbaab15ccd7,Frequent Visitors,0.25,16,44.69,5,5,2,Loyal Customers,67.0,M,39000.0,937
020be8b0fafa446ebcce6449b20bc92c,,0.25,11,34.879999999999995,5,4,2,Loyal Customers,59.0,M,42000.0,1140
020cd0f8047142e18a754303f9337d53,High Spenders,5.0,13,232.9,2,5,5,Loyal Customers,83.0,F,67000.0,80
020d72e77c704c42bb0a858c1aaa3bcd,Frequent Visitors,2.0,18,252.14,4,5,5,Champions,68.0,F,57000.0,401
0215efe5136d4a038cb81eae92d59368,Champions,1.0,13,767.29,5,5,5,Champions,58.0,F,64000.0,989
021616b8deea46438e3badc7fca5894d,Frequent Visitors,8.25,12,218.51,1,4,5,Loyal Customers,28.0,M,64000.0,591
0217c4393fd54e74a523b63c0fcc3da5,High Spenders,2.25,13,230.21,4,5,5,Champions,70.0,M,64000.0,864
0218964095c94da0bfac44cf40c9343f,High Spenders,3.0,9,223.70000000000002,3,3,5,Loyal Customers,77.0,M,94000.0,1269
021adce38ab34ede96422ae107643fd5,Frequent Visitors,4.75,14,247.26,2,5,5,Loyal Customers,57.0,M,65000.0,483
021c1940868647efbcb40ccdb942813b,,0.25,5,86.28,5,2,3,Loyal Customers,46.0,F,73000.0,1257
0222d267445f4f078bc325224e471766,,0.25,10,23.17,5,4,2,Loyal Customers,64.0,M,43000.0,211
0225045e245f4b7289cc55c0b5870ae2,,0.5,4,59.09,5,1,3,Potential Loyalists,42.0,F,50000.0,323
022f5553a0704b53ba26f2d23cb1234d,Frequent Visitors,0.25,23,371.91,5,5,5,Champions,46.0,F,62000.0,500
0231c913a51e420783be6bdeb75aa842,,2.25,8,34.01,4,3,2,Potential Loyalists,28.0,F,65000.0,193
023411b8a45a4715979dae6cec425a8b,,2.5,10,21.57,3,4,2,Potential Loyalists,61.0,M,59000.0,70
023a42cf62f742b795a975d56955e220,Frequent Visitors,0.25,18,50.09,5,5,3,Champions,38.0,M,66000.0,339
023fd15e56184ec19e23ed5a31c87543,,1.75,7,28.0,4,3,2,Potential Loyalists,21.0,M,53000.0,297
024218e67fa549a4a0a99b32b7b6fbf9,High Spenders,3.75,11,193.38,2,4,5,Loyal Customers,54.0,M,70000.0,146
0246e7cc7a3d4a98a940cb13776b5b55,Frequent Visitors,0.25,16,47.45,5,5,2,Loyal Customers,70.0,M,65000.0,1305
0246f8fdf0b64014a98822b70231c58d,Casual Shoppers,11.25,4,89.37,1,1,3,At Risk,81.0,F,79000.0,122
0247953d899b4a99acab74fa0a807c0f,,4.25,10,22.650000000000002,2,4,2,Potential Loyalists,77.0,M,53000.0,197
0251876076024444864473545adce065,Frequent Visitors,5.25,14,27.9,2,5,2,Potential Loyalists,74.0,M,36000.0,902
0252aa6f0dee4585ba886945c60f48f5,Casual Shoppers,18.25,1,10.36,1,1,1,Lost,49.0,F,58000.0,187
02557fafcf334c30a22c312c5647f71a,,5.0,6,17.18,2,2,1,At Risk,45.0,M,43000.0,107
026876bc8c6a4e0c8e330342c92cc844,Casual Shoppers,14.75,1,26.38,1,1,2,Lost,49.0,F,74000.0,246
027596e6ed19471392923eb833b25fd3,,4.75,6,14.86,2,2,1,At Risk,35.0,M,64000.0,337
02765747959045a0a7c452888b2f31eb,,3.0,5,49.29,3,2,3,Potential Loyalists,62.0,F,40000.0,33
0276c9a3092d4f79a29d61a1462f9b4d,Frequent Visitors,1.5,12,204.49,4,4,5,Champions,43.0,O,56000.0,432
027c18923c0146e58ccd615f6a62d82f,Casual Shoppers,8.0,11,24.55,1,4,2,Potential Loyalists,50.0,M,73000.0,1286
02865fee714e466e99f9bb7a7203887b,High Spenders,1.0,5,18.95,5,2,1,Potential Loyalists,64.0,M,75000.0,361
028a12f0ee584455850300886174f3d7,Casual Shoppers,14.0,3,72.4,1,1,3,At Risk,79.0,F,88000.0,821
028c88a958e54c36a31c4800fd6e887b,High Spenders,3.75,14,372.02,2,5,5,Loyal Customers,84.0,F,108000.0,761
029e063479234fb1b6c8727c3d45de62,Casual Shoppers,22.5,3,69.77000000000001,1,1,3,At Risk,71.0,M,93000.0,249
02a3aa431c1047be8eafec3dcd6b5fd0,High Spenders,4.0,6,114.77000000000001,2,2,4,Potential Loyalists,54.0,M,70000.0,56
02a458e1233342b79caff81edbcc30a9,High Spenders,4.25,2,53.69,2,1,3,At Risk,59.0,F,99000.0,35
02abd909ebc94aca8766f3f0ee39db80,,0.75,8,126.42,5,3,4,Loyal Customers,26.0,M,61000.0,160
02b5aa5725f94bcb94ca58208015b7bc,Frequent Visitors,2.5,13,39.91,3,5,2,Loyal Customers,65.0,M,46000.0,642
02b6895b3cab4f79a116bddc1c70b5c3,Frequent Visitors,1.25,16,47.81,4,5,3,Loyal Customers,53.0,M,34000.0,292
02b7a80a321c4b078af92d494cc0f012,Frequent Visitors,1.75,11,400.15999999999997,4,4,5,Champions,32.0,F,34000.0,275
02ba8c272f284139abef53e0290bfb67,High Spenders,5.5,4,91.81,2,1,3,At Risk,87.0,F,94000.0,451
02c083884c7d45b39cc68e1314fec56c,Casual Shoppers,12.5,10,29.89,1,4,2,Potential Loyalists,20.0,F,30000.0,751
02c6daf74a49491ca397f105ef944784,Casual Shoppers,7.75,3,78.94,1,1,3,At Risk,54.0,F,109000.0,829
02c89861ce2c4010bf4ed63f6f6d5df3,High Spenders,4.5,13,261.71,2,5,5,Loyal Customers,58.0,M,79000.0,868
02c8c9806a8c44f792a218fb2e8756b3,,2.5,4,21.93,3,1,2,At Risk,28.0,M,45000.0,94
02db8af535e54416a01aff51836d166f,,3.0,1,0.61,3,1,1,At Risk,73.0,M,30000.0,339
02dd040b77914163b1fd02efc3976d55,Frequent Visitors,0.5,12,181.82,5,4,5,Champions,37.0,M,60000.0,252
02e2211319524b9e8bd09794d00d8513,Frequent Visitors,2.5,15,65.97,3,5,3,Loyal Customers,24.0,M,73000.0,619
02e4c9dff62e4857a429a4be3ba73ed0,Frequent Visitors,1.5,14,48.86,4,5,3,Loyal Customers,44.0,M,74000.0,288
02e5396559f94469b6d03e40d85830c7,High Spenders,3.75,8,206.25,2,3,5,Loyal Customers,51.0,M,98000.0,937
02e6dbe7c694441a88f9160b6b0e1a35,,6.75,11,148.87,1,4,4,Potential Loyalists,55.0,M,61000.0,300
02e6dd10b22c43fcb5a2dfc0038dac22,,2.5,11,42.480000000000004,3,4,2,Potential Loyalists,39.0,F,74000.0,655
02eba2268a3640bb8e85880e12617c5f,High Spenders,2.25,12,188.97,4,4,5,Champions,79.0,F,57000.0,884
02efe2a67be247a686f79ba1cbce42f1,High Spenders,1.5,10,262.09,4,4,5,Champions,84.0,F,96000.0,550
02efe413dd194069ab58abde38ab5e02,High Spenders,0.25,6,182.29000000000002,5,2,5,Loyal Customers,59.0,F,97000.0,849
02f638a6c98241c98b24a06ca489aac0,,1.25,5,17.64,4,2,1,Potential Loyalists,67.0,M,46000.0,237
03019e49a5164723ae527bbd6949e0c1,High Spenders,1.0,8,164.47,5,3,4,Loyal Customers,45.0,M,84000.0,795
0305b52a24744a9bb660bffc6b39e884,High Spenders,1.0,6,127.31,5,2,4,Loyal Customers,51.0,M,114000.0,957
030c30c1955f4a17be09b692caf5ec5f,Frequent Visitors,0.25,16,66.08,5,5,3,Champions,74.0,M,69000.0,841
03118ab70a404fada1a433cd6abaa491,Frequent Visitors,0.25,18,318.21,5,5,5,Champions,40.0,F,63000.0,193
03257d4fcb6641aebaa46d5605d205ca,High Spenders,3.75,12,207.63,2,4,5,Loyal Customers,79.0,M,71000.0,511
0335d274249f4eb6b3c51527f02a3216,Frequent Visitors,3.25,12,244.02,3,4,5,Loyal Customers,21.0,F,74000.0,615
03374e3f14564b36a7138154ed8c194a,,2.0,9,26.21,4,3,2,Potential Loyalists,30.0,F,41000.0,604
033bf5269a494dd787e5e9f4a45b843c,High Spenders,5.75,2,53.74,2,1,3,At Risk,82.0,M,89000.0,293
033d0a511a5c452ea2be37a23f8c6dcb,High Spenders,5.75,5,112.24,2,2,4,Potential Loyalists,82.0,M,78000.0,985
033f0ee2250e475b87f70115e7895957,Casual Shoppers,11.75,3,90.43,1,1,3,At Risk,62.0,F,108000.0,586
033fed8bb1504885b866429db25543a0,High Spenders,5.5,3,89.98,2,1,3,At Risk,66.0,M,108000.0,21
0340f0361285411ab60a24823b020112,,5.75,7,20.65,2,3,2,Potential Loyalists,32.0,M,59000.0,251
0342c7c449a84440b3f7a80ad095761a,Frequent Visitors,0.25,17,245.22,5,5,5,Champions,52.0,M,56000.0,938
0345b2da6507473ca4400ed84dc6725a,Frequent Visitors,4.25,13,39.45,2,5,2,Potential Loyalists,70.0,F,31000.0,1644
034946bd82b34a219b556a47f1200828,Casual Shoppers,7.0,2,22.13,1,1,2,Lost,41.0,M,68000.0,316
034b962ed61d4da1bb0baaec84cc2e85,High Spenders,3.25,8,139.53,3,3,4,Loyal Customers,60.0,M,74000.0,368
034ce97360c6485ab990d903343f9f08,,5.5,5,22.57,2,2,2,At Risk,23.0,M,48000.0,20
034dcdec0a0547a19d77dcf2bc8ecc48,Casual Shoppers,15.5,1,11.37,1,1,1,Lost,57.0,F,76000.0,304
0355c6a5fdbc429ea5b05e8a9ecd2eae,High Spenders,0.25,6,109.09,5,2,4,Loyal Customers,77.0,F,88000.0,783
03566626393f43a88c55de21c61761d0,Casual Shoppers,6.25,3,5.449999999999999,1,1,1,Lost,71.0,M,59000.0,152
03568fe0e51b41a9bd752ec8be307ba5,Casual Shoppers,11.0,4,71.82,1,1,3,At Risk,67.0,M,73000.0,1747
03575a43a3da4691998de01fff617f99,High Spenders,0.25,8,201.29,5,3,5,Champions,81.0,M,115000.0,315
035d5aa3c23a4059ae663b4c07aa26ce,High Spenders,0.75,12,261.95,5,4,5,Champions,37.0,F,89000.0,983
03637e48ffda4bf9b73b079d03c0bbe3,,3.0,8,98.99000000000001,3,3,3,Potential Loyalists,35.0,M,48000.0,227
03676dc08a0a4899b0af5030bb6da6f5,High Spenders,2.75,5,97.63,3,2,3,Potential Loyalists,44.0,M,83000.0,624
