time_days,count,revenue
0,3159,44050.34
1,4006,49977.02
2,4190,52121.14
3,4035,47690.57
4,3814,48467.81
5,3484,45516.97
6,3235,39469.1
7,4211,54226.02
8,4671,60321.06
9,4928,61561.55
10,4367,55662.04
11,4059,49604.51
12,3703,47748.11
13,3433,41960.63
14,4484,58903.15
15,4943,62144.64
16,5054,60616.28
17,5634,73731.16
18,5887,74771.89
19,5506,69148.77
20,5030,62582.31
21,5525,68329.96
22,5656,77262.51
23,5407,71658.34
24,5655,74494.86
25,5866,77719.88
26,5510,69495.54
27,5044,65855.61
28,4529,58987.69
29,3928,51372.51
